volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
11349,1931,1931,1886,1931,m,uk,13.7856672984674,0.733087972658,0,1,"Williams, Charles,",Many dimensions,chirandom | teamblack
11364,1932,1932,1909,1932,f,uk,12.052262008304899,1.37105503949e-06,0,1,"Evans, Margiad,",Country dance,teamred | chirandom
11383,1932,1932,1899,1932,m,uk,11.667734527339945,0.000887526818858,0,1,"Shute, Nevil,",Lonely road,teamred | chirandom
11385,1932,1932,1886,1932,m,uk,16.087758651066157,0.999424589907,1,1,"Stapledon, Olaf,",Last men in London,chiscifi | teamred
11396,1933,1933,1879,1933,f,au,11.973116871905223,0.0233248800689,0,1,"Franklin, Miles,",Bring the monkey,chimyst | teamred | chirandom
11469,1935,1935,1891,1935,m,au,11.452983100794771,0.022152549812,0,1,"McKinney, J. P,",Crucible,teamred | chirandom
11519,1937,1937,1904,1937,f,uk,11.69800155371878,0.010862585812,0,1,"Allingham, Margery,",Dancers in mourning,chimyst | teamred | chirandom | cozy
11535,1937,1937,1899,1937,m,uk,14.484500671700705,0.00342245062322,0,1,"Linklater, Eric,",Juan in China,teamred | chirandom
11552,1937,1937,1866,1937,m,uk,12.29748384071896,0.99985980787,1,1,"Wells, H. G.",Star-begotten,chiscifi | teamred
11575,1938,1938,1906,1938,f,nz,15.194256101470458,0.000347939476557,0,1,"Hyde, Robin,",The godwits fly,teamred | chirandom
11584,1938,1938,1894,1938,m,uk,15.228001142452587,0.0783566780173,1,1,"Priestley, J. B.",The doomsday men,chiscifi | teamred
11591,1938,1938,1874,1938,m,uk,15.550880841516845,0.998685375716,1,1,"Wright, S. Fowler,",The adventure of Wyndham ,chiutopia | chiscifi | chirandom | teamblack | stew
11592,1939,1939,1916,1939,m,us,10.237188169885409,0.0208213450616,0,1,"Allan, Ted,",This time a better earth,teamred | chirandom
11675,1941,1941,1890,1941,f,uk,11.379108481283465,0.0282089351953,0,1,"Christie, Agatha,",N or M?,chimyst | chirandom | teamblack | cozy
11711,1942,1942,1886,1942,m,uk,14.749895844631572,0.999998670157,1,1,"Stapledon, Olaf,",Darkness and the light,chiscifi | teamred
11724,1943,1943,1905,1943,m,uk,14.253092339660487,0.00219007478551,0,1,"Green, Henry,",Caught,chirandom | teamblack
11778,1945,1945,1898,1945,m,uk,12.221340284663912,0.332870000976,1,1,"Lewis, C. S.",That hideous strength,chiscifi | chifantasy | teamblack
11803,1946,1946,1899,1946,m,uk,13.25861276668492,0.256392217582,0,1,"Forester, C. S.",Lord Hornblower,chirandom | teamblack
11809,1946,1946,1905,1946,m,uk,12.953975460945745,0.0336182197896,0,1,"Koestler, Arthur,",Thieves in the night,chirandom | teamblack
11829,1947,1947,1895,1947,m,uk,13.73874807153274,0.000908467084346,0,1,"Hartley, L. P.",Eustace and Hilda,chirandom | teamblack
11836,1947,1947,1897,1947,f,uk,11.477349075802708,7.8509217146e-06,0,1,"Robins, Denise,",More than love,teamred | chirandom
11877,1949,1949,1890,1949,f,uk,11.2719937725816,0.00373040733473,0,1,"Christie, Agatha,",Crooked house,chimyst | teamred | chirandom | cozy
