volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
loc.ark+=13960=t81k00b4k,1887,1887,0,1887,f,,26.481015560266325,0.274502108018,0,1,"Teske, T. Alcliffe.",Heart echoes,random
loc.ark+=13960=t8cf9tk39,1880,1880,1846,1880,m,us,20.433204790872548,0.219447374433,0,1,"Kyner, James Henry,","Odes, hymns and songs of the G. A. R",random
loc.ark+=13960=t8df7d08p,1893,1893,1856,1893,m,us,24.726252686140473,0.613488117258,1,1,"Hayne, William Hamilton,",Sylvan lyrics and other verses,reviewed
loc.ark+=13960=t8ff4bv0c,1878,1878,1801,1878,m,us,27.452057696048193,0.249500418221,0,1,"Means, Alexander,",A cluster of poems,random
loc.ark+=13960=t90872358,1873,1873,1844,1873,m,uk,30.420476243812097,0.519130548248,1,1,"O'Reilly, John Boyle,",Songs from the southern seas,reviewed
loc.ark+=13960=t95720v25,1872,1872,1835,1872,f,us,25.715873355094953,0.682135867298,1,1,"Thaxter, Celia,",Poems,reviewed
loc.ark+=13960=t9572953d,1874,1874,0,1874,,,23.73425121856364,0.408611987582,0,1,"Glover, H. C.",Rights and wrongs of woman,random
loc.ark+=13960=t9572954w,1887,1887,1813,1887,m,us,25.691375197170757,0.548171906243,1,1,"Cranch, Christopher Pearse,",Ariel and Caliban,reviewed
loc.ark+=13960=t9d519g22,1883,1883,1818,1883,m,us,27.335153110829964,0.278634028735,0,1,"Underwood, John,",El muza,random
loc.ark+=13960=t9f48bc94,1882,1882,0,1882,f,,25.238384577787397,0.282397519535,0,1,"Seibert, John.",The morning star,random
loc.ark+=13960=t9r21qp19,1875,1880,1844,1875,m,us,23.878199036084617,0.674808625349,1,1,"Gilder, Richard Watson,",The new day,reviewed
loc.ark+=13960=t9w09kt0j,1878,1878,1844,1878,m,us,27.980537214903922,0.600699645348,1,1,"Gilder, Richard Watson,",The poet and his master,reviewed
mdp.39015000544554,1894,1894,1859,1894,m,uk,42.77963779040622,0.553053337833,0,1,"Thompson, Francis,",Poems,random
mdp.39015003700393,1893,1893,1860,1893,m,us,32.02920113907004,0.651699581347,1,1,"Garland, Hamlin,",Prairie songs: being chants rhymed and unrhymed of the level lands of the great West,reviewed
mdp.39015013092401,1885,1885,1809,1885,m,uk,37.87260724317607,0.567063372234,1,1,"Tennyson, Alfred Tennyson,",Tiresias,reviewed
mdp.39015013157980,1871,1878,1836,1871,f,us,30.456033017691947,0.660340603311,1,1,"[Piatt, Sarah M. B.",A woman's poems,reviewed
mdp.39015033891238,1881,1881,1827,1881,m,us,34.0245674169565,0.5660609246,1,1,"Trowbridge, J. T.",A home idyl,reviewed
mdp.39015048998879,1885,1886,1851,1885,f,us,34.40286518016126,0.485126451868,0,1,"Hapgood, Isabel Florence,",The epic songs of Russia,random
mdp.39015055468584,1880,1880,1846,1880,f,uk,25.776882283331766,0.626296907287,0,1,"Greenaway, Kate,",Under the window;,random
mdp.39015059421811,1872,1917,1809,1872,m,uk,35.384203971015246,0.535494868138,1,1,"Hake, Thomas Gordon,",Parables & tales,reviewed
mdp.39015059422017,1894,1894,1839,1894,m,uk,38.949874751807656,0.499663848822,0,1,"Japp, Alexander H.",Dramatic pictures,random
mdp.39015059548340,1871,1880,1837,1871,m,uk,41.2375759578656,0.642545179946,1,1,"Swinburne, Algernon Charles,",Songs before sunrise,reviewed
mdp.39015063542537,1873,1895,1835,1873,m,uk,41.982538403132374,0.570833883655,1,1,"Austin, Alfred,",Madonna's child,reviewed
mdp.39015063753589,1880,1880,1832,1880,m,uk,38.914855989936946,0.554999855505,1,1,"Arnold, Edwin,",Poems,reviewed
mdp.39015063920428,1887,1887,1828,1887,f,us,35.315197701224065,0.254025729376,0,1,"Kail, Mary E.,",Crown our heroes,random
mdp.39015063937810,1871,1894,1851,1871,m,uk,27.84549062256584,0.53168495837,0,1,"Mackay, Eric,",Love letters of a violinist,random
mdp.39015063940111,1894,1894,1845,1894,m,uk,5.5149836521403115,0.918188122071,1,1,"Lee-Hamilton, Eugene.",Sonnets of the wingless hours,reviewed
mdp.39015063947066,1887,1887,1855,1887,m,us,32.8852945407184,0.178654491589,0,1,"O'Hagan, Thomas,",A gate of flowers,random
mdp.39015065460522,1875,1875,1811,1875,m,uk,32.223065248589215,0.423261545045,0,1,"Moffat, James C.",Alwyn,random
mdp.39015065549217,1880,1880,1850,1880,m,uk,35.56000873406804,0.682395724774,1,1,"Marston, Philip Bourke,",Wind-voices,reviewed
mdp.39015071556941,1877,1877,0,1877,f,us,29.741832530616648,0.284310770839,0,1,"King, Delia Chase",The tidal wave,random
njp.32101013202740,1890,1892,1865,1890,m,uk,31.550684074866403,0.51362190402,1,1,"Kipling, Rudyard,",Barrack-room ballads,reviewed
njp.32101051389870,1887,1887,0,1887,m,,30.33493571424378,0.328622153184,0,1,"Harrison, Harry.",Poems,random
njp.32101063702987,1881,1881,1820,1881,m,us,28.27214054495717,0.213520792319,0,1,"Randolph, Anson D. F.",Easter chimes,random
njp.32101064713173,1880,1880,1843,1880,m,us,38.04648758882884,0.498763254905,0,1,"Selden, Samuel,",Poems,random
njp.32101066109255,1894,1894,1861,1894,m,us,29.112121199815643,0.561526808934,0,1,"Partridge, William Ordway,",Song-life of a sculptor,random
njp.32101066457894,1871,1871,1834,1871,f,us,33.49942413099583,0.383814140093,0,1,"Cooke, Belle W.",Tears and victory,random
njp.32101067004133,1886,1886,1816,1886,m,uk,37.45688141175757,0.39265014031,0,1,"Thom, Robert W.,",Poems and ballads,random
njp.32101067487577,1892,1892,1865,1892,m,uk,26.929920664857605,0.516134856125,1,1,"Yeats, W. B.",Wanderings of Oisin,reviewed
njp.32101067627149,1890,1890,1828,1890,m,us,36.13406692228938,0.271006753815,0,1,"Anderson, Duncan,","Lays of Canada, and other poems",random
njp.32101067628659,1893,1893,1860,1893,m,uk,25.6870854596738,0.61222500394,1,1,"Barlas, John Evelyn,",Selections from Songs of a bayadere and Songs of a troubadour,reviewed
njp.32101067629178,1886,1886,1850,1886,m,us,27.33611605538275,0.626351793134,1,1,"Bates, Arlo,",Berries of the brier,reviewed
njp.32101067632925,1873,1873,1840,1873,m,uk,29.893008519281363,0.787693704696,0,1,"Dobson, Austin,",Vignettes in rhyme and vers de société (now first collected),random
njp.32101067707651,1874,1874,1848,1874,m,uk,31.745177713920803,0.536935409082,0,1,"Beck, Edward Anthony,",The Holy sepulchre,random
njp.32101068168077,1880,1880,1826,1880,f,uk,32.9984012936224,0.588400032592,0,1,"Craik, Dinah Maria Mulock,",Thirty years,random
njp.32101068175072,1871,1871,1825,1871,m,us,60.88893290080909,0.537874528461,1,1,"Butler, William Allen,",Poems,reviewed
njp.32101068176153,1886,1886,1840,1886,m,uk,39.172870971274435,0.620178948637,1,1,"Carpenter, Henry Bernard,",Liber amoris,reviewed
njp.32101068177599,1878,1878,0,1878,,,62.87711814438723,0.427951243593,0,1,"Edwards, Alfred.",Incidents in the career of Coeur de Lion,random
njp.32101068604063,1885,1891,1850,1885,m,uk,32.48952518996156,0.622112881576,1,1,"Stevenson, Robert Louis,",A child's garden of verses,reviewed
nnc1.1002356570,1871,1871,0,1871,,uk,30.06870212960796,0.417442220035,0,1,anonymous5,"Verses for the people, suitable to the times, by an Englishman",random
nyp.33433066571302,1887,1887,1853,1887,f,us,34.92399227692019,0.330602982432,0,1,"Read, Jane Maria,",Between the centuries and other poems,random
nyp.33433066625991,1875,1875,0,1875,,,29.28707866030637,0.319911260325,0,1,"Peckham, P. Annetta.",Welded links,random
nyp.33433066626338,1870,1870,1825,1870,m,us,35.704008738031206,0.310378752855,0,1,"Nash, Gilbert,",Bay leaves,random
nyp.33433066626502,1881,1881,1841,1881,f,us,25.913698727602643,0.48373699905,0,1,"Oberholtzer, Sara Louisa,",Come for Arbutus,random
nyp.33433066626783,1890,1890,1835,1890,f,us,23.617210960718,0.744096835393,1,1,"Moulton, Louise Chandler,",In the garden of dreams,reviewed
nyp.33433066626916,1883,1886,1834,1883,m,us,44.9660996141008,0.602397755893,1,1,"Nichols, Starr Hoyt,",Monte Rosa,reviewed
nyp.33433066636204,1871,1871,1837,1871,m,us,38.49054120598541,0.59258197204,1,1,"Miller, Joaquin,",Songs of the Sierras,reviewed
nyp.33433066637236,1886,1886,1823,1886,m,us,33.74583419249444,0.379186396528,0,1,"Harris, Thomas Lake,",The joy-bringer,random
nyp.33433066638408,1880,1882,1807,1880,m,us,28.96080921287224,0.574690398685,1,1,"Longfellow, Henry Wadsworth,",Ultima Thule,reviewed
nyp.33433066640792,1870,1872,1830,1870,f,us,31.437295520137713,0.6348514708,1,1,"Jackson, Helen Hunt,",Verses,reviewed
nyp.33433066643903,1879,1879,1838,1879,f,us,30.021052710334853,0.548518865408,1,1,"Bates, Charlotte Fiske,","Risk, and other poems",reviewed
nyp.33433066649108,1887,1887,1831,1887,f,us,33.61309580357526,0.611745949048,1,1,"Perry, Nora,",New songs and ballads,reviewed
nyp.33433069343402,1887,1887,1841,1887,m,us,35.511476775164205,0.651499713844,1,1,"Sill, Edward Rowland,",Poems,reviewed
nyp.33433074903737,1892,1892,1839,1892,m,au,42.33674168369679,0.265588074083,0,1,"Yarrington, W. H. H.",Australian verses,random
nyp.33433074963582,1871,1871,1834,1871,m,us,38.95620283636216,0.428506850074,0,1,"Stanton, Henry T.","The Moneyless Man, and Other Poems",random
nyp.33433075742027,1887,1887,1854,1887,f,us,31.554656434611363,0.593492734121,1,1,"Thomas, Edith Matilda,",Lyrics and sonnets,reviewed
nyp.33433075742266,1883,1883,1844,1883,m,us,30.502747666489558,0.744959505558,1,1,"Thompson, Maurice,",Songs of fair weather,reviewed
nyp.33433075807317,1893,1893,1869,1893,m,us,34.505704932328115,0.529039611634,1,1,"McCulloch, Hugh,",The quest of Heracles and other poems,reviewed
nyp.33433075817829,1891,1891,1844,1891,m,us,35.86114757599032,0.536584626498,1,1,"Gilder, Richard Watson,",Two worlds,reviewed
nyp.33433076013501,1880,1880,1806,1880,m,us,32.10155109571978,0.276239818672,0,1,"Currier, Moody,",Early poems,random
nyp.33433076026503,1875,1875,1813,1875,m,us,32.710658770916524,0.544465079864,1,1,"Cranch, Christopher Pearse,",The bird and the bell,reviewed
nyp.33433082128426,1893,1893,1867,1893,m,us,34.25177343996026,0.423965097364,0,1,"Currie, George G.",How I once felt,random
nyp.33433082169420,1881,1881,1824,1881,f,us,35.491457404941585,0.591904127561,1,1,"Larcom, Lucy,",Wild roses of Cape Ann,reviewed
nyp.33433082171996,1880,1880,1836,1880,m,us,41.74514058008233,0.278294743858,0,1,"Goddard, Sextus P.","Buds, briars and berries",random
uc1.$b803433,1873,1873,1813,1873,m,us,30.621160341962632,0.226414668324,0,1,"Ricketson, Daniel,",The factory-bell,random
uc1.31822038204301,1881,1881,1854,1881,m,uk,35.9463649305832,0.660715759529,1,1,"Wilde, Oscar,",Poems,reviewed
uc1.32106001950101,1870,1870,1848,1870,m,uk,30.785864804652775,0.640591228918,1,1,"Rossetti, Dante Gabriel,",Poems,reviewed
uc1.32106001957635,1872,1872,1809,1872,m,uk,35.26310211702153,0.583782424564,1,1,"Tennyson, Alfred Tennyson,",Gareth and Lynette,reviewed
uc1.b119185,1875,1875,1845,1875,m,uk,43.153075038586,0.549573529019,0,1,"Anderson, Alexander",The Two Angels,random
uc1.b119720,1875,1875,1829,1875,m,uk,39.957361057596785,0.468524917309,0,1,"Veitch, John,","The Tweed, and Other Poems",random
uc1.b119842,1888,1888,1836,1888,f,us,33.04373360478118,0.54874679356,0,1,"Mace, Frances Parker (Laughton)",Under pine and plam,random
uc1.b155433,1886,1886,1832,1886,f,us,39.26028742781417,0.600203591972,1,1,"Allen, Elizabeth Akers,",The silver bridge,reviewed
uc1.b165755,1881,1881,1863,1881,f,us,34.73240777209407,0.688803650743,0,1,"Eastman, Elaine Goodale,",All round the year,random
uc1.b166039,1880,1880,1833,1880,m,uk,37.403927768978264,0.502018848431,1,1,"Morris, Lewis,",The ode of life,reviewed
uc1.b167383,1887,1887,1845,1887,m,uk,33.96621876646255,0.665897071655,1,1,"Canton, William,",A lost epic,reviewed
uc1.b167406,1891,1891,1865,1891,m,us,33.44141639908787,0.647084151126,1,1,"Cawein, Madison Julius,",Days and dreams,reviewed
uc1.b167484,1894,1894,1857,1894,m,uk,27.324803892955945,0.706897197098,1,1,"Davidson, John,",Ballads & songs,reviewed
uc1.b182449,1877,1877,1840,1877,m,uk,22.950877992795114,0.56912162283,1,1,"Dobson, Austin,","Proverbs in porcelain, and other verses",reviewed
uc1.b182492,1893,1893,1822,1893,m,us,32.71751509549215,0.393902341033,0,1,"Hale, Edward Everett,",For fifty years;,random
uc1.b182525,1872,1872,1830,1872,m,us,47.88390415472884,0.614393490282,1,1,"Hayne, Paul Hamilton,",Legends and lyrics,reviewed
uc1.b183776,1882,1882,1799,1882,m,us,37.47419416823377,0.434411908787,0,1,"Alcott, Amos Bronson,",Sonnets and canzonets,random
uc1.b253348,1878,1878,1844,1878,m,us,37.81952627883633,0.482783518819,0,1,"Cowan, Frank,",Southwestern Pennsylvania in song and story,random
uc1.b255800,1877,1877,0,1877,f,uk,37.87877861561402,0.371330000896,0,1,"Budge, Jane,",Poems.,random
uc1.b260737,1870,1870,1840,1870,m,us,36.0449250774169,0.707397117831,1,1,"Weeks, Robert Kelley,",Episodes and lyric pieces,reviewed
uc1.b273058,1878,1878,1825,1878,m,us,39.548503375108,0.370001083267,0,1,"Poston, Charles D.",Apache-land,random
uc1.b274713,1874,1875,1831,1874,f,us,35.19949489736516,0.64613635212,1,1,"Perry, Nora,",After the ball,reviewed
uc1.b274729,1894,1894,1859,1894,m,us,36.34335474506412,0.551204382033,0,1,"Thayer, William Roscoe,",Poems;,random
uc1.b274748,1870,1870,0,1870,f,us,33.703801601275266,0.217934216971,0,1,"Stephens, Lydia W.",Heart Problems,random
uc1.b2828936,1889,1889,0,1889,f,,30.708839041844154,0.49007347393,0,1,"Robertson, Janet Logie.",New songs of innocence,random
uc1.b2831659,1886,1886,0,1886,,,34.64604138599367,0.380590872953,0,1,anonymous3,Chimes from a poet's belfrey,random
uc1.b2834136,1892,1892,1846,1892,f,uk,34.948398045846865,0.33291074371,0,1,"Kinloch, Marjory G. J.",A song-book of the soul,random
uc1.b325378,1881,1881,1836,1881,m,us,36.793020306108794,0.527883852106,0,1,"Gordon, Hanford Lennox,",Legends of the Northwest,random
uc1.b3315087,1878,1900,1849,1878,m,us,29.90453367773826,0.662415867117,0,1,"Riley, James Whitcomb,",The flying islands of the night,random
uc1.b3315153,1875,1875,1811,1875,m,uk,37.13017531576942,0.62476962372,1,1,"Scott, William Bell,",Poems,reviewed
uc1.b3579414,1873,1873,1834,1873,m,uk,34.655801991139896,0.585191536015,1,1,"Morris, William,","Love is enough, or The freeing of Pharamond",reviewed
uc1.b4382847,1891,1891,1856,1891,f,us,32.425372785589616,0.804808940348,1,1,"Reese, Lizette Woodworth,",A handful of lavender,reviewed
uc1.b4410403,1888,1888,1819,1888,m,us,38.32880099128268,0.626148268569,1,1,"Lowell, James Russell,",Heartsease and rue,reviewed
uc1.b798791,1879,1879,1838,1879,m,us,33.35658255689809,0.426905263475,1,1,"Ryan, Abram Joseph,",Father Ryan's poems,reviewed
uc2.ark+=13960=t02z17v0j,1872,1872,1834,1872,m,uk,32.162786196014466,0.599165900248,1,1,"Noel, Roden,",The red flag,reviewed
uc2.ark+=13960=t04x56q61,1884,1884,1857,1884,f,uk,30.06293759093271,0.687487193507,1,1,"Robinson, A. Mary F.",The new Arcadia and other poems,reviewed
uc2.ark+=13960=t06w96n8w,1871,1871,1836,1871,m,us,27.13286806708346,0.529923232815,1,1,"Winter, William,",My witness,reviewed
uc2.ark+=13960=t06w98f3m,1870,1870,0,1870,,,30.810921062485097,0.251240276726,0,1,"Lochore, G.",Poetical recreation,random
uc2.ark+=13960=t07w68f3s,1875,1875,1851,1875,m,us,27.183690329118193,0.661384526425,1,1,"Lathrop, George Parsons,",Rose and roof-tree,reviewed
uc2.ark+=13960=t0bv7gp3c,1874,1874,0,1874,,,24.124249471028367,0.469341359702,0,1,anonymous4,Lays of the Belvoir Hunt,random
uc2.ark+=13960=t0dv1cw73,1891,1891,0,1891,m,,30.938432032764155,0.538924924648,0,1,"Irvine, J. P.",The green leaf and the gray,random
uc2.ark+=13960=t0dv1jg7s,1871,1871,1833,1871,m,uk,33.55667674636728,0.591831562665,1,1,"Morris, Lewis,",Songs of two worlds,reviewed
uc2.ark+=13960=t0qr4p29x,1878,1878,0,1878,,,34.34046266814243,0.440562438563,0,1,"Hopkins, Alphonso A.","Waifs, and their authors",random
uc2.ark+=13960=t0tq5ww75,1874,1874,1803,1874,m,uk,27.738021563298418,0.546272887024,1,1,"Lytton, Edward Robert Bulwer Lytton,",Fables in song,reviewed
uc2.ark+=13960=t0zp3xm93,1894,1894,1845,1894,m,us,22.984421012188708,0.538621784713,1,1,"Tabb, John B.",Poems,reviewed
uc2.ark+=13960=t14m95k32,1875,1875,1853,1875,m,uk,30.665506400550107,0.610331721098,0,1,"Waller, Bryan Charles.",The twilight land,random
uc2.ark+=13960=t1bk1c13v,1875,1875,1841,1875,m,uk,23.02489188135477,0.579376101942,0,1,"Rhoades, James,",Timoleon;,random
uc2.ark+=13960=t1hh6d09g,1892,1892,1853,1892,m,us,31.61342930871441,0.496995780331,1,1,"Johnson, Robert Underwood,","The winter hour, and other poems",reviewed
uc2.ark+=13960=t1kh0gm2b,1870,1870,1843,1870,m,uk,37.697651551626066,0.587813421556,1,1,"Myers, F. W. H.",Poems,reviewed
uc2.ark+=13960=t1mg7j44g,1890,1890,1844,1890,m,uk,29.229423685188518,0.521076772772,1,1,"Bridges, Robert,",The shorter poems of Robert Bridges,reviewed
uc2.ark+=13960=t1td9vq8p,1889,1890,1812,1889,m,uk,15.885145671743237,0.643902738896,1,1,"Browning, Robert,",Asolando,reviewed
uc2.ark+=13960=t1zc7s42g,1887,1887,1857,1887,f,us,26.027817939055197,0.685754043507,1,1,"Deland, Margaret Wade Campbell,",Old garden & other verses,reviewed
uc2.ark+=13960=t23b62184,1892,1892,1866,1892,m,uk,32.26580429900648,0.612344909767,0,1,"Le Gallienne, Richard,",English poems,random
uc2.ark+=13960=t26974b8z,1894,1894,1858,1894,m,uk,27.004816543441514,0.535134481812,1,1,"Watson, William,",Odes and other poems,reviewed
uc2.ark+=13960=t2f766k62,1894,1894,1862,1894,m,us,34.83824226951168,0.605246928505,1,1,"Mitchell, Langdon Elwyn,",Poems,reviewed
uc2.ark+=13960=t3222ww5h,1894,1894,1849,1894,m,uk,20.093494817458776,0.51422934362,0,1,"Image, Selwyn,",Poems & carols,random
uc2.ark+=13960=t3610z72h,1893,1893,1865,1893,m,us,22.540472823396936,0.385486754915,0,1,"Merkley, George Earle,",Canadian melodies and poems,random
uc2.ark+=13960=t3bz6276h,1880,1880,1827,1880,f,us,29.489921517881683,0.570044836658,1,1,"Greenough, Richard S.,",Mary Magdalene,reviewed
