docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
mdp.39015057157748,1766,1766,1766,,fic,v.1,,,"Elie de Beaumont,","The history of the Marquis de Roselle, in a series of letters"
nyp.33433074923081,1767,1767,1767,,fic,v. 3-4,,,"Johnstone, Charles.","Chrysal; or, The adventures of a guinea"
njp.32101041469998,1773,1773,1773,,fic,,,,"Arnaud, François-Thomas-Marie de Baculard d',",The tears of sensibility;
mdp.39015007004024,1771,1771,1771,,fic,v.1,,,"Haywood, Eliza Fowler,",The female spectator
hvd.hn4q7d,1771,1771,1771,,fic,vol.4,,,"Cervantes Saavedra, Miguel de,",The history of the renowned Don Quixote de la Mancha
nyp.33433074930292,1771,1771,1771,,fic,v. 4,,,"Bridges, Thomas,",The adventures of a bank-note
nyp.33433074913611,1774,1774,1774,,fic,v. 2,,,"Graves, Richard,","The spiritual Quixote: or, The summer's ramble of Mr. Geoffry Wildgoose;"
hvd.hn4q7b,1771,1771,1771,,fic,vol.2,,,"Cervantes Saavedra, Miguel de,",The history of the renowned Don Quixote de la Mancha
PratMCC2fic,1777,1777,1749,,fic,,,,"Pratt, Mr. (Samuel Jackson),",CHARLES AND CHARLOTTE.
pst.000005236749,1778,1778,1778,,fic,v.1,,,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane
PratMSO3fic,1779,1779,1749,,fic,,,,"Pratt, Mr. (Samuel Jackson),",SHENSTONE-GREEN; OR THE NEW PARADISE LOST.
PratMTT2fic,1779,1779,1749,,fic,,,,"Pratt, Mr. (Samuel Jackson),",THE TUTOR OF TRUTH. BY THE AUTHOR OF THE PUPIL OF PLEASURE &c. &c. IN TWO VOLUMES.
nyp.33433075813372,1775,1775,1775,,fic,v. 1,,,"Scarron,",The comic romance of Monsieur Scarron
BurnFEO2fic,1779,1779,1752,,fic,,,,"Burney, Fanny,",EVELINA; OR A YOUNG LADY'S ENTRANCE INTO THE WORLD.
hvd.hn62x5,1781,1781,1781,,fic,v.2,,,"Espenscheid, Gertrude E.",The masqued weddings;
HolcTFPfic,1783,1783,1745,,fic,,,,"Holcroft, Thomas,",THE FAMILY PICTURE; OR DOMESTIC DIALOGUES ON AMIABLE AND INTERESTING SUBJECTS; ILLUSTRATED BY HISTORIES ALLEGORIES TALES FABLES ANECDOTES &c. INTENDED TO STRENGTHEN AND INFORM THE MIND. BY THOMAS HOLCROFT AUTHOR OF DUPLICITY A COMEDY.
mdp.39015065783840,1784,1784,1784,,fic,v.2 1784,,,"Paltock, Robert,","The life and adventures of Peter Wilkins, a Cornish man"
hvd.hn37mg,1780,1780,1780,,fic,v.1,,,"Pratt,","Shenstone-Green, or, The new Paradise lost"
nyp.33433081583183,1781,1781,1781,,fic,,,,Aesop.,Select fables of Esop & other fabulists
PratMEC3fic,1780,1780,1749,,fic,,,,"Pratt, Mr. (Samuel Jackson),",EMMA CORBETT; OR THE MISERIES OF CIVIL WAR.
nyp.33433074911532,1788,1788,1788,,fic,v. 4,,,"Smith, Charlotte,",Emmeline
nyp.33433007970456,1787,1787,1787,,fic,v. 3,,,"Smith, Charlotte,",The romance of real life
nyp.33433074916440,1789,1789,1789,,fic,v. 3,,,"Bennett,",Agnes de-Courci
njp.32101068162393,1787,1787,1787,,fic,vol.1,,,"Nicholson,",The village of Martindale
BerqMCF2fic,1788,1788,1747,,fic,,,,"Berquin, M. (Arnaud),",THE CHILDREN'S FRIEND.
BerkGSMfic,1787,1787,1763,,fic,,,,"Berkeley, George Monck,",SPANISH MEMOIRS; IN A SERIES OF ORIGINAL LETTERS. CONTAINING THE HISTORY OF DONNA ISABELLA DELLA VILLAREA NIECE TO DON JOHN TWENTIETH AND LAST DUKE OF ARANDINA.
njp.32101067567857,1792,1792,1792,,fic,vol. 2,,,"Fielding, Henry,",The history of Tom Jones
njp.32101036894333,1791,1791,1791,,fic,,,,"Yeo, James",Omar and Zemira;
njp.32101071963472,1790,1790,1790,,fic,vol. 2,,,"Rousseau, Jean-Jacques,","The confessions of J.J. Rousseau, citizen of Geneva"
nyp.33433067305254,1794,1794,1794,,fic,v. 6,,,"Addison, Joseph,","Interesting anecdotes, memoirs, allegories, essays, and poetical fragments; tending to amuse the fancy, and inculcate morality"
mdp.39015063931458,1794,1794,1794,,fic,v.5,,,"Gunning,",Memoirs of Mary
