volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
11101,1940,1940,1888,1940,m,us,10.050637121731016,0.983466156783,detective,1,"Chandler, Raymond,",Farewell My Lovely,teamblack | stew | det100 | hardboiled
11109,1923,1923,1864,1923,m,uk,13.558051664467891,0.89746526284,detective,1,"Le Queux, William,",The voice from the void,teamred | chimyst
11113,1923,1923,1866,1923,m,uk,12.980237321505955,0.978141678065,detective,1,"Oppenheim, E. Phillips,",Michael's evil deeds,teamred | chimyst
11114,1923,1923,1862,1923,m,uk,12.481192027475931,0.804105558411,detective,1,"Phillpotts, Eden,",The red Redmaynes,teamblack | det100
11121,1924,1924,1863,1924,m,uk,14.37675700032165,0.998460477569,detective,1,"Fletcher, J. S.",The safety pin,chimyst | teamblack
11123,1924,1924,1862,1924,m,uk,15.671317718756333,0.999357671408,detective,1,"Freeman, R. Austin,",The red thumb mark,chimyst | teamblack
11141,1925,1925,1890,1925,f,uk,12.530093441465384,0.993941101229,detective,1,"Christie, Agatha,",Poirot investigates,cozy | chirandom | teamblack | det100
11148,1925,1925,1888,1925,m,uk,14.47864190969501,0.993992427173,detective,1,"Knox, Ronald Arbuthnott,",The viaduct murder,teamred | chimyst
11156,1925,1925,1862,1925,m,uk,12.920154834786734,0.861572660445,detective,1,"Phillpotts, Eden,",A voice from the dark,chirandom | teamblack | stew | det100
11169,1926,1926,1872,1926,m,uk,12.967891793810715,0.888843968341,detective,1,"Gask, Arthur,",Cloud: the smiter,chirandom | teamblack | chimyst
11191,1927,1927,1875,1927,m,uk,13.19781652347118,0.0413127934225,random,1,"Buchan, John,",Witch wood,chirandom | teamblack | chifantasy
11234,1928,1928,1888,1928,m,uk,14.683786574926263,0.9797347404,detective,1,"Knox, Ronald Arbuthnott,",The footsteps at the lock,teamred | chirandom | det100
11252,1929,1929,1893,1929,m,uk,13.220257292159078,0.996679236009,detective,1,"Berkeley, Anthony,",The poisoned chocolates c,chimyst | teamblack
11255,1929,1929,1890,1929,f,uk,11.618408350989299,0.995216059087,detective,1,"Christie, Agatha,",The Seven dials mystery,teamred | chimyst | cozy
11277,1929,1929,1875,1929,m,uk,11.930151726687306,0.996215867411,detective,1,"Wallace, Edgar,",The lone house mystery,chirandom | teamblack | stew | chimyst
11285,1930,1930,1893,1930,m,uk,12.976644584445998,0.962455221844,detective,1,"Berkeley, Anthony,",The Piccadilly murder,chimyst | teamblack
11298,1930,1930,1882,1930,m,au,15.504811194674193,0.0380796529537,random,1,"Manning, Frederic,",Her privates: we,chirandom | teamblack
11300,1930,1930,1866,1930,m,uk,13.074628704310642,0.935043999835,detective,1,"Oppenheim, E. Phillips,",The million pound deposit,teamred | chimyst | stew
11302,1930,1930,1893,1930,f,uk,14.09715466300553,0.919948591833,detective,1,"Sayers, Dorothy L.",Strong poison,cozy | chimyst | teamblack
11316,1931,1931,1882,1931,m,uk,13.62848302699404,0.187386856221,random,1,"Armstrong, Martin,",The romantic adventures o,chirandom | teamblack
11323,1931,1931,1880,1931,m,uk,12.472625104177311,0.995286440902,detective,1,"Connington, J. J.",The boathouse riddle,chirandom | teamblack | chimyst
11339,1931,1931,1883,1931,m,uk,12.648973652570843,0.990260098457,detective,1,"Rohmer, Sax,",Daughter of Fu Manchu,chimyst | teamblack | stew
11349,1931,1931,1886,1931,m,uk,13.7856672984674,0.35895076782,random,1,"Williams, Charles,",Many dimensions,chirandom | teamblack
11364,1932,1932,1909,1932,f,uk,12.052262008304899,0.045304427571,random,1,"Evans, Margiad,",Country dance,teamred | chirandom
11383,1932,1932,1899,1932,m,uk,11.667734527339945,0.668756159337,random,1,"Shute, Nevil,",Lonely road,teamred | chirandom
11384,1932,1932,1905,1932,m,uk,12.501075925107509,0.721119748783,detective,1,"Snow, C. P.",Death under sail,chimyst | teamblack | stew
11396,1933,1933,1879,1933,f,au,11.973116871905223,0.941448907584,detective,1,"Franklin, Miles,",Bring the monkey,teamred | chirandom | chimyst
11404,1933,1933,1866,1933,m,uk,12.431974357080557,0.877967415448,detective,1,"Oppenheim, E. Phillips,",Murder at Monte Carlo,teamred | chimyst
11416,1933,1933,1876,1933,f,uk,13.012752786228953,0.742813616882,detective,1,"White, Ethel Lina,",Put out the light,teamred | chirandom | chimyst
11442,1934,1934,1899,1934,m,uk,15.342591968502582,0.00772225573783,random,1,"Linklater, Eric,",Magnus Merriman,teamred | chirandom
11462,1935,1935,1902,1935,f,uk,14.480148873729584,0.480537769755,random,1,"Heyer, Georgette,",Regency buck,chirandom | teamblack
11468,1935,1935,1895,1935,f,nz,11.665005220584018,0.943373321295,detective,1,"Marsh, Ngaio,",The nursing home murder,cozy | chirandom | teamblack | chimyst
11469,1935,1935,1891,1935,m,au,11.452983100794771,0.0540071951287,random,1,"McKinney, J. P,",Crucible,teamred | chirandom
11472,1935,1935,1874,1935,f,us,11.0898113802079,0.00833497926839,random,1,"Montgomery, L. M.",Mistress Pat,chirandom | teamblack
11499,1936,1936,1906,1936,m,uk,12.855936305299455,0.99262583359,detective,1,"Innes, Michael,",Death at the president's ,teamred | chirandom | stew | chimyst
11519,1937,1937,1904,1937,f,uk,11.69800155371878,0.715027692379,detective,1,"Allingham, Margery,",Dancers in mourning,teamred | chirandom | cozy | chimyst
11535,1937,1937,1899,1937,m,uk,14.484500671700705,0.0423076660795,random,1,"Linklater, Eric,",Juan in China,teamred | chirandom
11545,1937,1937,1884,1937,m,uk,11.329754149659767,0.956266189296,detective,1,"Rhode, John",The harvest murder,teamred | stew | det100
11564,1938,1938,1880,1938,m,uk,12.118376278389531,0.995590452534,detective,1,"Connington, J. J.",Murder will speak,chimyst | teamblack | stew
11575,1938,1938,1906,1938,f,nz,15.194256101470458,0.0136335698746,random,1,"Hyde, Robin,",The godwits fly,teamred | chirandom
11591,1938,1938,1874,1938,m,uk,15.550880841516845,0.0103780124854,random,1,"Wright, S. Fowler,",The adventure of Wyndham ,chiutopia | chirandom | teamblack | stew | chiscifi
11592,1939,1939,1916,1939,m,us,10.237188169885409,0.0315408582565,random,1,"Allan, Ted,",This time a better earth,teamred | chirandom
11593,1939,1939,1893,1939,,uk,13.29387501064572,0.845902914592,detective,1,"Berkeley, Anthony,",Death in the house,chimyst | teamblack
11606,1939,1939,1862,1939,m,uk,14.045421814565762,0.999631722898,detective,1,"Freeman, R. Austin,",The stoneware monkey,teamred | chimyst
11664,1940,1940,1899,1940,m,uk,10.92357914961354,0.399313455084,random,1,"Shute, Nevil,",Landfall,chirandom | teamblack
11675,1941,1941,1890,1941,f,uk,11.379108481283465,0.808635955736,detective,1,"Christie, Agatha,",N or M?,cozy | chirandom | teamblack | chimyst
